rank,ticker,name,quote_type,currency,market_cap,price,sector,industry
1,ORCL,Oracle Corporation,EQUITY,USD,433568514048,150.52,Technology,Software - Infrastructure
2,PLTR,Palantir Technologies Inc.,EQUITY,USD,418228273152,174.04,Technology,Software - Infrastructure
3,PANW,"Palo Alto Networks, Inc.",EQUITY,USD,313180028928,384.27,Technology,Software - Infrastructure
4,SAP,SAP SE,EQUITY,USD,240039870464,207.97,Technology,Software - Application
5,CRWD,"CrowdStrike Holdings, Inc.",EQUITY,USD,220911337472,216.95,Technology,Software - Infrastructure
6,SHOP,Shopify Inc.,EQUITY,USD,198554910720,154.32,Technology,Software - Application
7,CRM,"Salesforce, Inc.",EQUITY,USD,160695992320,196.21,Technology,Software - Application
8,NOW,"ServiceNow, Inc.",EQUITY,USD,128198893568,124.0,Technology,Software - Application
9,SNOW,Snowflake Inc.,EQUITY,USD,114003673088,328.92,Technology,Software - Application
10,NET,"Cloudflare, Inc.",EQUITY,USD,112442851328,315.78,Technology,Software - Infrastructure
11,ADBE,Adobe Inc.,EQUITY,USD,104947949568,264.02,Technology,Software - Application
12,INTU,Intuit Inc.,EQUITY,USD,94550794240,345.66,Technology,Software - Application
13,DDOG,"Datadog, Inc.",EQUITY,USD,91729305600,255.46,Technology,Software - Application
14,WDAY,"Workday, Inc.",EQUITY,USD,49068687360,198.68,Technology,Software - Application
15,TEAM,Atlassian Corporation,EQUITY,USD,41166221312,162.22,Technology,Software - Application
16,VEEV,Veeva Systems Inc.,EQUITY,USD,39595552768,243.75,Healthcare,Health Information Services
17,MDB,"MongoDB, Inc.",EQUITY,USD,37025226752,460.33,Technology,Software - Infrastructure
18,ZM,"Zoom Communications, Inc.",EQUITY,USD,31070885888,105.96,Technology,Software - Application
19,ZS,"Zscaler, Inc.",EQUITY,USD,29689868288,183.6,Technology,Software - Infrastructure
20,OKTA,"Okta, Inc.",EQUITY,USD,25851326464,147.43,Technology,Software - Infrastructure
21,DOCU,"DocuSign, Inc.",EQUITY,USD,11846203392,62.04,Technology,Software - Application
22,HUBS,"HubSpot, Inc.",EQUITY,USD,11177010176,224.14,Technology,Software - Application
23,ESTC,Elastic N.V.,EQUITY,USD,9079857152,86.68,Technology,Software - Application
24,PATH,"UiPath, Inc.",EQUITY,USD,8295105536,16.01,Technology,Software - Infrastructure
25,GTLB,GitLab Inc.,EQUITY,USD,7198517760,42.62,Technology,Software - Infrastructure
